order_id,customer_id,age,income,city,country,price_text,discount_code,notes,created
ORD-637,0,,0,NYC ,USA,$612,"",note 0 - 0.713592,2024-03-01
ORD-5218,1,34,1000,Boston,USA,$627,"",note 1 - 0.392955,2024-03-02
ORD-4911,2,25,1000,nyc,USA,601,SAVE20,note 2 - 0.815749,2024-03-03
ORD-436,3,26,0,nyc,USA,526,SAVE20,note 3 - 0.265530,2024-03-04
ORD-6229,4,24,1000,NYC ,USA,274,"",note 4 - 0.821661,2024-03-05
ORD-8221,5,,0,NYC ,USA,807,SAVE20,note 5 - 0.872818,2024-03-06
ORD-6173,6,37,1000,NYC ,USA,778,SAVE10,note 6 - 0.956685,2024-03-07
ORD-4331,7,34,1000,Boston,USA,462,SAVE20,note 7 - 0.192264,2024-03-08
ORD-5194,8,38,1000,NYC ,USA,806,SAVE20,note 8 - 0.348803,2024-03-09
ORD-6464,9,49,0,nyc,USA,656,SAVE10,note 9 - 0.954609,2024-03-10
ORD-9208,10,,1000,nyc,USA,947,SAVE10,note 10 - 0.137273,2024-03-11
ORD-3814,11,30,0,NYC ,USA,643,"",note 11 - 0.100198,2024-03-12
ORD-3267,12,33,1000,NYC ,USA,587,SAVE10,note 12 - 0.321168,2024-03-13
ORD-611,13,46,1000,NYC,USA,840,"",note 13 - 0.417885,2024-03-14
ORD-4742,14,48,1000,NYC,USA,$607,"",note 14 - 0.009267,2024-03-15
ORD-8901,15,,1000,NYC,USA,565,SAVE20,note 15 - 0.889260,2024-03-16
ORD-4215,16,45,0,nyc,USA,266,"",note 16 - 0.014084,2024-03-17
ORD-6643,17,999,1000,nyc,USA,$875,SAVE20,note 17 - 0.515281,2024-03-18
ORD-6284,18,49,1000,NYC ,USA,$354,"",note 18 - 0.446736,2024-03-19
ORD-4285,19,44,1000,nyc,USA,840,SAVE10,note 19 - 0.692769,2024-03-20
ORD-1923,20,,0,nyc,USA,820,SAVE10,note 20 - 0.367544,2024-03-21
ORD-9924,21,39,0,NYC ,USA,256,SAVE10,note 21 - 0.415846,2024-03-22
ORD-1341,22,28,1000,NYC ,USA,710,SAVE20,note 22 - 0.528173,2024-03-23
ORD-8281,23,34,0,nyc,USA,163,"",note 23 - 0.572702,2024-03-24
ORD-8361,24,42,0,Boston,USA,697,SAVE20,note 24 - 0.808692,2024-03-25
ORD-7575,25,,0,Boston,USA,$677,SAVE10,note 25 - 0.723280,2024-03-26
ORD-8866,26,24,1000,NYC ,USA,452,"",note 26 - 0.934583,2024-03-27
ORD-2218,27,48,1000,NYC,USA,393,SAVE20,note 27 - 0.374461,2024-03-28
ORD-2178,28,45,0,Boston,USA,777,SAVE10,note 28 - 0.118633,2024-03-29
ORD-372,29,31,1000,Boston,USA,328,SAVE10,note 29 - 0.463004,2024-03-30
ORD-3088,30,,1000,Boston,USA,$454,"",note 30 - 0.032217,2024-03-31
ORD-1102,31,28,3000,Boston,USA,116,"",note 31 - 0.593944,2024-04-01
ORD-924,32,25,0,NYC,USA,872,"",note 32 - 0.503896,2024-04-02
ORD-5253,33,42,1000,nyc,USA,891,"",note 33 - 0.301764,2024-04-03
ORD-2869,34,46,0,NYC ,USA,670,SAVE20,note 34 - 0.555851,2024-04-04
ORD-6688,35,,1000,NYC,USA,426,"",note 35 - 0.299888,2024-04-05
ORD-7586,36,42,1000,NYC ,USA,$824,"",note 36 - 0.562386,2024-04-06
ORD-5411,37,48,1000,Boston,USA,348,"",note 37 - 0.922226,2024-04-07
ORD-1192,38,40,0,NYC ,USA,719,"",note 38 - 0.804651,2024-04-08
ORD-251,39,34,0,NYC ,USA,440,"",note 39 - 0.937160,2024-04-09
ORD-4637,40,,1000,Boston,USA,345,SAVE20,note 40 - 0.466250,2024-04-10
ORD-7692,41,36,0,nyc,USA,609,SAVE10,note 41 - 0.914330,2024-04-11
ORD-2497,42,31,1000,NYC ,USA,837,"",note 42 - 0.329865,2024-04-12
ORD-5530,43,44,1000,Boston,USA,663,SAVE10,note 43 - 0.763361,2024-04-13
ORD-8954,44,23,0,Boston,USA,$460,SAVE20,note 44 - 0.184048,2024-04-14
ORD-794,45,,1000,NYC,USA,176,"",note 45 - 0.412392,2024-04-15
ORD-7916,46,41,0,NYC ,USA,782,SAVE20,note 46 - 0.015732,2024-04-16
ORD-1578,47,32,1000,Boston,USA,$283,"",note 47 - 0.240969,2024-04-17
ORD-7520,48,32,0,nyc,USA,482,"",note 48 - 0.990233,2024-04-18
ORD-519,49,33,0,NYC ,USA,182,"",note 49 - 0.405278,2024-04-19
ORD-5427,50,,1000,NYC,USA,965,"",note 50 - 0.894791,2024-04-20
ORD-1218,51,45,1000,NYC,USA,$377,SAVE10,note 51 - 0.899312,2024-04-21
ORD-6375,52,35,0,nyc,USA,680,SAVE10,note 52 - 0.383846,2024-04-22
ORD-5666,53,37,1000,NYC ,USA,180,"",note 53 - 0.097686,2024-04-23
ORD-7381,54,38,1000,Boston,USA,749,SAVE20,note 54 - 0.228138,2024-04-24
ORD-4839,55,,0,Boston,USA,776,"",note 55 - 0.713109,2024-04-25
ORD-5050,56,42,1000,NYC ,USA,$209,SAVE20,note 56 - 0.359917,2024-04-26
ORD-430,57,40,0,nyc,USA,624,"",note 57 - 0.353914,2024-04-27
ORD-3977,58,48,0,nyc,USA,842,"",note 58 - 0.685316,2024-04-28
ORD-2739,59,44,0,NYC ,USA,$604,SAVE20,note 59 - 0.275962,2024-04-29
ORD-3203,60,,0,nyc,USA,740,SAVE20,note 60 - 0.106972,2024-03-01
ORD-5399,61,52,0,nyc,USA,961,SAVE20,note 61 - 0.334736,2024-03-02
ORD-5147,62,45,0,NYC ,USA,811,"",note 62 - 0.964575,2024-03-03
ORD-3971,63,21,0,nyc,USA,602,SAVE10,note 63 - 0.376055,2024-03-04
ORD-9012,64,41,1000,NYC,USA,$658,"",note 64 - 0.953005,2024-03-05
ORD-1133,65,,1000,Boston,USA,916,SAVE20,note 65 - 0.672978,2024-03-06
ORD-7357,66,42,1000,nyc,USA,908,SAVE20,note 66 - 0.582244,2024-03-07
ORD-8796,67,43,1000,Boston,USA,468,"",note 67 - 0.109369,2024-03-08
ORD-6547,68,38,1000,NYC ,USA,760,SAVE10,note 68 - 0.965717,2024-03-09
ORD-9424,69,51,0,Boston,USA,671,"",note 69 - 0.445779,2024-03-10
ORD-1406,70,,0,NYC ,USA,207,"",note 70 - 0.831318,2024-03-11
ORD-7912,71,47,0,NYC ,USA,903,SAVE10,note 71 - 0.476163,2024-03-12
ORD-3996,72,25,0,nyc,USA,$919,"",note 72 - 0.551910,2024-03-13
ORD-3022,73,43,2000,nyc,USA,337,"",note 73 - 0.640479,2024-03-14
ORD-3371,74,36,0,NYC ,USA,104,SAVE10,note 74 - 0.752325,2024-03-15
ORD-5340,75,,1000,NYC,USA,$649,"",note 75 - 0.457550,2024-03-16
ORD-5766,76,36,1000,nyc,USA,$701,SAVE20,note 76 - 0.617363,2024-03-17
ORD-1931,77,55,2000,nyc,USA,$788,"",note 77 - 0.305380,2024-03-18
ORD-7973,78,43,0,Boston,USA,492,"",note 78 - 0.554913,2024-03-19
ORD-878,79,50,0,Boston,USA,962,SAVE10,note 79 - 0.951842,2024-03-20
ORD-8056,80,,1000,Boston,USA,606,SAVE20,note 80 - 0.710142,2024-03-21
ORD-3613,81,38,0,Boston,USA,131,SAVE10,note 81 - 0.032695,2024-03-22
